Symbols (Linear Β),,,,Transliteration (Latin),,,,,,Pronunciation (Greek),,,,,,,,Pronunciation (English),,,,,Translation (English),
Ί1Ηt],,,,a-da-ma-o,,,,,,Αδάμαο (Αδάμας),,,,,,,,Adamao (Adamas),,,,,personal name,
Ί1 ί2,,,,a-da-me-we,,,,,,ΑδαμέFει( ς) (Αδαμεύς),,,,,,,,Adamevei(s) (Adameus),,,,,personal name,
Ί1 bffiΊ,,,,a-da-ra-ti-jo,,,,,,Αδράστιος,,,,,,,,Adrastios,,,,,personal name,
+,,,,"a-de-te/
a-de-te-re",,,,,,ανδετήρ/ ανδετήρες,,,,,,,,andeter/ andeteres,,,,,"binder
(>άνδημα= head- band)",
c,,,,a-di-nwa-ta,,,,,,ΑδινFάτας,,,,,,,,Adinfatas,,,,,personal name,
011,,,,a-di-ri-ja-pi/ a-di-ri-ja-te/ a-di-ri-jo,,,,,,ανδρίαφι/ ανδριάντει/ ανδρίος (>άνερ),,,,,,,,andriaphi/ andriantei/ andrios (>aner),,,,,(decorated) with men,
Ί1 ΊC,,,,a-e-ri-qo-ta,,,,,,Αελιπότας,,,,,,,,Aelipotas,,,,,personal name,
Ί1   ί,,,,a-e-ti-to,,,,,,αέθιστος (>εθίζω;),,,,,,,,aethistos (ethizo?),,,,,not used? (>εθίζω= to accustom),
7\ΕΘΥ'αι,,,,ai-ka-sa-ma,,,,,,αιξμά(ν)ς (αιξμά> αιχμή),,,,,,,,aixma(n)s (aixma> aihme),,,,,pointed head of a weapon,
nffii,,,,"ai-ke-u/ a-i-ke-u/
ai-ki-e-we/ a-i-qe-we/ ai-ki-e-wo/ a-1-qe-wo",,,,,,Αιγεύς,,,,,,,,Aigeus,,,,,personal name (also a decorating style),
7\VΙΊ,,,,ai-ki-a2-ri-jo,,,,,,αιγιhάλιος,,,,,,,,aigihalios,,,,,coastal (see also 'aigihaliande'),
nνa,,,,ai-ki-no-o,,,,,,Αιγίνοος,,,,,,,,Aiginoos,,,,,personal name,
nν+c,,,,ai-ki-pa-ta/ a-i-ki-pa-ta,,,,,,Αιγιπάτας,,,,,,,,Aigipatas,,,,,"personal name (αιξ, αίγα= goat)",
Ί\'tFι,,,,ai-ki-po,,,,,,Αιγίπως,,,,,,,,Aigypos,,,,,personal name,
7\CΨC,,,,ai-ko-ta,,,,,,Αικόντας,,,,,,,,Aikontas,,,,,personal name,
7\ r!ΥΙ\Ί,,,,ai-ku-pi-ti-jo,,,,,,Αιγύπτιος,,,,,,,,Aigyptios,,,,,personal name,
T\Vf 2,,,,a1-m1-re-we,,,,,,(ai-mi-re)Fεις,,,,,,,,(ai-mi-re)veis,,,,,"description of rams (see also 'e-ka-ra-
e-we')",
ταr \,,,,ai-ta-re-u-si,,,,,,Αιθαλεύσι (Αιθαλεύς),,,,,,,,Aithaleusi (Aithaleus),,,,,place name,
τr+z,,,,ai-ta-ro-we/ a-ta-ro-we,,,,,,ΑιθαλόFεις,,,,,,,,Aithalofeis,,,,,personal name (>αιθαλόεις= 'smoky'),
!ν11Ί§,,,,ai-ti-jo-qe/ ai-ti-jo-qo,,,,,,Αιθίοπες/ Αιθίοψ,,,,,,,,Aithiopes/ Aithiops,,,,,"ethnic/personal name (>αιθός= shining, blazing)",
7\1,,,,ai-to,,,,,,Λίθων,,,,,,,,Aithon,,,,,personal name,
τmο,,,,aι-wa-J a,,,,,,ΑιFαία (>Αία),,,,,,,,Aifaia (>Aia),,,,,ethnic/place name,
τmc,,,,ai-wa-ta,,,,,,ΑιFάτας,,,,,,,,Aifatas,,,,,personal name,
τ+,,,,ai-wo-ro/ a-wo-ro,,,,,,ΑίFολος,,,,,,,,Aivolos,,,,,personal/ animal name  (=  'nibble'),
7\f,,,,aι-za,,,,,,αίζα (>αίγα),,,,,,,,aiza (>aiga),,,,,goat,
7\f,,,,aι-za,,,,,,Αιζαί (>Αιγαί),,,,,,,,Aizai (>Aigai),,,,,place name,
Ίmϊ,,,,a-ja-me-na/ a-Ja-me-no,,,,,,αιασμένα/ αιασμένος,,,,,,,,aiasmena/ aιasmenos,,,,,inscribed/ decorated,
rEθh!s,,,,a-ka-ma-no,,,,,,Αλκμάνωρ,,,,,,,,Alkmanor,,,,,personal name,
rEθbs,,,,a-ka-ra-no,,,,,,ακάρανος,,,,,,,,akaranos,,,,,(>άκαρα= legs/ kara= head),
rΕΘ\ΊΨ,,,,a-ka-si-jo-ne,,,,,,Ακασιόνει (Ακάσιον),,,,,,,,Akasionei (Akasion),,,,,place name,
rEΘu,,,,a-ka-ta-jo,,,,,,Ακταίος,,,,,,,,Aktaios,,,,,personal name,
rΕΘ&ΌΧ,,,,a-ka-wi-ja-de,,,,,,ΑχαιFίανδε (ΑχαιFία> Αχαiα),,,,,,,,Ahaiviande (Ahaivia> Aha'ia),,,,,place name,
rΕΘΒ,,,,a-ka-wo,,,,,,ΑχαιFός (>Αχαιός),,,,,,,,Achaivos (>Achaios),,,,,personal/ ethnic name of 'Ahaivia',
τm,,,,"a-ke
a-ke-e",,,,,,άγει/ άγεεν (άγω),,,,,,,,agei/ ageen (ago),,,,,to send,
τmu,,,,a-ke-(j)o(-jo),,,,,,Αργείοιο (Αργείος),,,,,,,,Argeioio (Argeios),,,,,ethnic name of 'Argos',
ΊmbB,,,,a-ke-ra-wo,,,,,,ΑρχέλαFος/ ΑρχελάFων,,,,,,,,Arhailaf os/ Arhailafon,,,,,personal name,
τmr,,,,a-ke-re,,,,,,αγείρει(ν) (αγείρω),,,,,,,,ageirei(n) (ageiro),,,,,to gather together/collect,
Ίmfί,,,,"a-ke-re-u/
a-ke-re-u-te",,,,,,Αγρεύς/ Αγρεύθεν,,,,,,,,Agreus/ Agreuthen,,,,,place name,
τmrm,,,,"a-ke-re-wa/
a-ke-re-wa-de/ a-ke-re-we",,,,,,ΑγρέFα/ ΑγρέFανδε,,,,,,,,Agrefa/ Agrefande,,,,,place name (fem. of 'Agreus'?),
τmrτ,,,,a-ke-re-wi-jo,,,,,,ΑγρέFιος,,,,,,,,Agrevios,,,,,ethnic name of 'Agrefa',
τm+,,,,a-ke-ro,,,,,,άγγελος,,,,,,,,agelos,,,,,messenger,
τm+,,,,a-ke-ro,,,,,,Αχέρων,,,,,,,,Aheron,,,,,personal name (also modern river),
τm+r,,,,a-ke-te-re,,,,,,αγέτερες/ ασκέτερες,,,,,,,,ageteres/ asketeres,,,,,official title/ occupation (see also 'asketreiai'),
Ίmffi/i[J,,,,"a-ke-ti-ra2(-o)/ a-ke-ti-ri-ja/
a-ke-ti-ri-ja-i",,,,,,ασκητριάων/ ασκήτριαι,,,,,,,,asketreiaon/ asketreiai,,,,,decorators? (fem.) (>ασκέω/ασκώ= to work),
Ίmί,,,,"a-ke-u/
a-ke-wo",,,,,,Αλκεύς,,,,,,,,Alkeus,,,,,personal name,
WlDX,,,,a-ki-a2-ri-ja-de,,,,,,Αιγlhάλιανδε (Αιγιhάλια),,,,,,,,Aigihaliande (Aigihalia),,,,,place name,
rνrr,,,,a-ki-re-u/ a-ki-re-we,,,,,,Αχιλεύς,,,,,,,,Ahileus,,,,,personal name,
rνmι,,,,a-ki-ti-to,,,,,,άκτι(σ)τος,,,,,,,,akti(s)tos,,,,,"'untitled?' (>κτίσις= founding, settling)",
1',,,,*a-ko,,,,,,άγος/άγκος,,,,,,,,agos/agkos,,,,,"holy place/grove, valley (see 'ti-mi- to-a-ke-e')",
,,,,a-ko-ra,,,,,,αγορά,,,,,,,,agora,,,,,"assembly
>market place",
11l_cI],,,,a-ko-ra-ja/ a-ko-ra-jo,,,,,,αγοραία/ αγοραίος,,,,,,,,agoraia/ agoraιos,,,,,used for communal purposes (see also 'agora'),
1'+,,,,"a-ko-ro/
a-ko-ro-we",,,,,,αγρός,,,,,,,,agros,,,,,field,
WrΨ,,,,a-ko-so-ne,,,,,,άξονες,,,,,,,,axones,,,,,axles,
wrc,,,,"a-ko-so-ta/
a-ko-so-ta-o",,,,,,Ακσότας,,,,,,,,Aksotas,,,,,personal name,
=Ι=ί,,,,a-ko-te-u,,,,,,Αργοθεύς,,,,,,,,Argotheus,,,,,personal name,
m,,,,a-ko-to,,,,,,Άκτωρ/Άχθων,,,,,,,,Aktor/Ahthon,,,,,personal name,
ffls,,,,a-ko-to-no,,,,,,άκτοινος,,,,,,,,aktoinos,,,,,without land (see 'ktoina'),
Β,,,,a-ko-wo,,,,,,άκορFος,,,,,,,,akorfos,,,,,"childless, unaccompanied (see  'korfos')",
Ί1*+,,,,a-ku-ro,,,,,,άργυρος,,,,,,,,argyros,,,,,silver,
1rn,,,,a-ma-ru-ta-o,,,,,,Αμαρύταο (Αμαρύτας),,,,,,,,Amalytao (Amalytas),,,,,personal name,
ΊVΥ\Ί,,,,". .
a-ml-Πl-Sl-JO",,,,,,Αμνίσιος,,,,,,,,Amnisios,,,,,ethnic name of 'Amnisos',
wYrx,,,,a-mi-ni-so-de,,,,,,Αμνισόνδε (Άμνισος),,,,,,,,Amnisonde (Amnisos),,,,,place name,
(,,,,"a-mo/
a-mo-si/ a-mo-ta / a-mo-te",,,,,,άρμον/ άρμοσι/ άρμοτα/ άρμοτε,,,,,,,,armon/ armosi/ armota/ armote,,,,,wheel/chariot ('undercarriage'),
rΨ Ι,,,,a-mo-i-je-to,,,,,,αρμοίεντοι;,,,,,,,,armoientoi?,,,,,just delivered? (see 'iento'),
rbm,,,,a-mo-ra-ma,,,,,,άμωρ- άμαρ;,,,,,,,,amor- amar?,,,,,"'from day to day, daily?'",
([(,,,,"a-mo-ta-jo/
a-mo-te-jo-na- de",,,,,,αρμοτεών/ αρμοτεώνανδε,,,,,,,,armoteon/ armoteonande,,,,,(to the) workshop of  'armota',
r+r,,,,a-mo-te-re,,,,,,αρμοστήρες (αρμοστήρ),,,,,,,,armosteres (armoster),,,,,>(of stones) laid with the grain,
r+,,,,a-mo-te-wi-ja,,,,,,αρμοθήFια,,,,,,,,armothevia,,,,,description of a pot,
Ίm,,,,a-mu-ta-wo,,,,,,ΑμυνθάFων,,,,,,,,Amynthafon,,,,,personal name,
ΊΎΨC,,,,"a-na(-i)-ta/
a-na(-i)-to",,,,,,άναιτα/ άναιτον,,,,,,,,anaita/ anaiton,,,,,not decorated,
ΊΎ Ξ)rC,,,,a-na-mo-ta a-na-mo-to,,,,,,ανάρμοστα/ ανάρμοστον,,,,,,,,anarmosta/ anarmoston,,,,,(about chariots) not assembled,
ΊΎm,,,,a-na-pu-ke,,,,,,ανάμπυκες,,,,,,,,anampykes,,,,,without head- bands (see 'ampykes'),
YΞ)rΨAf D,,,,a-ne-mo (i-e- re-ja),,,,,,ανέμων (ιέρεια),,,,,,,,anemon (iereia),,,,,(priestess) of winds,
ΙΙ,,,,a-ne-ta,,,,,,άνετα (ανίημι),,,,,,,,aneta (anieimi),,,,,"not due, of ηο charge (>ανίημι= to set free)",
Υί=Ι=,,,,a-ne-u-te,,,,,,Ανεύθεν/Ανεύτει (Ανεύς),,,,,,,,Aneuthen/ Aneutei (Aneus),,,,,place name,
ΊΥD,,,,"a-ni-ja/
. .    1
a-n1-Ja-p",,,,,,ανία/ανίαφι (>ηνία),,,,,,,,ania/aniaphi (>einia),,,,,reιns,
Ί1ffi,,,,a-ni-ja-to,,,,,,Ανίατος,,,,,,,,Aniatos,,,,,personal name,
\\,,,,a-no-no,,,,,,άνονον/άνωνον,,,,,,,,anonon,,,,,"not rented,
(see opp. 'onaton')",
FΊ,,,,a-no-po,,,,,,άνωπος,,,,,,,,anopos,,,,,"without  'holes,' not pierced",
sZ,,,,"a-no-we/
a-no-wo-to",,,,,,ανώFεις/ άνωFτος,,,,,,,,anofeis/ anoftos,,,,,without 'ears'/ handles,
11 fr,,,,a-nu-ko,,,,,,Άνυκος,,,,,,,,Anykos,,,,,personal name,
1111,,,,a-nu-to,,,,,,Άνυτος,,,,,,,,Anytos,,,,,personal name,
Ί1+Χ1,,,,a-pa-Je-u,,,,,,Αρπαγεύς,,,,,,,,Arpayeus,,,,,personal name,
Ί1+fί,,,,"a-pa-re-u/
a-pa-re-u-pι",,,,,,Αφαρεύς,,,,,,,,Aphareus,,,,,place name,
Ί1+ΥW,,,,a-pa-sa-ki-jo,,,,,,Αψάγιος,,,,,,,,Apsayios,,,,,personal name,
Ί1=f[,,,,a-pa-ta,,,,,,άσπαρτα;,,,,,,,,asparta?,,,,,not sown/ cultivated?,
Ί1=FΟΙΙ,,,,a-pa-ta-wa,,,,,,ΆπταρFα (>Άπτερα),,,,,,,,Aptarfa (>Aptera),,,,,place name,
Ί1=FDllD,,,,a-pa-ta-wa-ja/ a-pa-ta-wa-jo,,,,,,ΑπταρFαία/ ΑπταρFαίος,,,,,,,,Aptarfaia/ Aptarfaios,,,,,ethnic name of 'Aptarfa',
,,,,a-pe-a-sa/ a-pe-o-te,,,,,,απέασα/απέοντες (>άπειμι),,,,,,,,apeasa/ apeontes (>apeimi),,,,,absent,
,,,,a-pe-e-ke,,,,,,απέηκε (>αφίημι),,,,,,,,apeeike (>aphieimi),,,,,to let go,
ΊΜCΔ,,,,a-pe-ri-ta-wo,,,,,,ΑπελιτάFων,,,,,,,,Apelitafon,,,,,personal name,
Ίi)ffiίi,,,,a-pe-ti-ra2,,,,,,αφέτρια(ι),,,,,,,,aphetria(i),,,,,item found together with a 'torpeza',
rm,,,,a-pι,,,,,,αμφί,,,,,,,,amphi,,,,,"bi-, both",
Ί1r11 +,,,,a-p1-a2-ro,,,,,,Αμφίhαλος,,,,,,,,Amphihalos,,,,,personal name,
rn,,,,a-pi-e-ke,,,,,,αμφιέχει(ν) (αμφιέχω),,,,,,,,amphiehei(n) (amphieho),,,,,to be covered all over,
Ί1Μ+,,,,"a-pi-ja-ko-ro/
a-pi-ja-ko-ro-jo",,,,,,Αμφίαγρος,,,,,,,,Amphiagros,,,,,personal name,
rmι+,,,,a-pi-do-ro,,,,,,Αμφίδωρος,,,,,,,,Amphidoros,,,,,personal name,
Ί1rΓDf B,,,,". .
a-pι-Ja-re-wo",,,,,,ΑμφιαρήFος (Αμφιαρεύς),,,,,,,,Amphiarevos (Amphiareus),,,,,personal name,
Ί1r11C,,,,a-pi-je-ta,,,,,,Αμφιγέτας,,,,,,,,Amphiyetas,,,,,personal name,
Ί1r11ίχ,,,,"a-pi-me-de/
a-pi-me-de-o",,,,,,Αμφιμήδης,,,,,,,,Amphimedes,,,,,personal name,
Ί1r11   Ί,,,,"a-p              . .
1-no-e-w1-Jo",,,,,,ΑμφινοέFιοι,,,,,,,,Amphinoevioi,,,,,ethnic name of 'Amphoneus',
Ί1ffilf 2,,,,"a-(pi-)po-re- we/
a-po-re-we",,,,,,αμ(φι)φορήFες (αμ(φι)φορεύς),,,,,,,,am(phi)phorefes (am(phi)phoreus),,,,,amphora,
Ί1m=Ί+,,,,"a-pi-po-ro/
a-p.          .
1-qo-ro-1",,,,,,αμφίπολος,,,,,,,,amphipolos,,,,,attendant,
Ί1WτC,,,,a-pi-qo-ta,,,,,,Αμφιπότας,,,,,,,,Amphipotas,,,,,personal name,
Ί1ffiTi,,,,a-pi-qo-to,,,,,,αμφίποτος (>αμφίβατος?),,,,,,,,amphipotos (>amphivatos?),,,,,(table) with legs apart,
Ί1rtbB,,,,a-pι-ra-wo,,,,,,ΑμφίλαFος/ ΑμφιλάFων,,,,,,,,Amphilavos/ Amphilavon,,,,,personal name,
Ί1ΊΨ2,,,,a-po-ne-we/ a-pu-ne-we,,,,,,ΑμφονέFει (Αμφονεύς),,,,,,,,Amphonevei (Amphoneus),,,,,place name,
Ί1l=l=b,,,,a-po-te-ra,,,,,,αμφότερα(ι),,,,,,,,amphotera(i),,,,,both,
Ί1=1+++,,,,a-po-te-ro-te,,,,,,αμφοτέρωθεν,,,,,,,,amphoterothen,,,,,οη both sides,
Ί1r\\,,,,a-pu-,,,,,,απύ- (>από-),,,,,,,,apy- (> apo-),,,,,from/with,
Ί1r\\Ιm,,,,a-pu-do-ke/ a-pe-do-ke,,,,,,απύδωκε/ απέδωκε (>αποδίδω),,,,,,,,apydoke/ apedoke (>apodido),,,,,to deliver,
Ί1rl\I\,,,,a-pu-do-si,,,,,,απύδοσις (>απόδοσις),,,,,,,,apydodis (>apodosis),,,,,delivery,
Ί1r\\Ε9,,,,a-pu-ka/ a-pu-ke,,,,,,άμπυξ/ άμπυκες,,,,,,,,ampyx/ ampykes,,,,,"head- band, tiara/ reιns",
Ί1r\\CΨΒCΨ,,,,a-pu-ko-wo-ko,,,,,,αμπυκοFοργός,,,,,,,,ampykovorgos,,,,,maker of 'ampykes',
ΤΨΕΘΨ,,,,a-pu2-ka-ne,,,,,,Αφύγανες,,,,,,,,Afyganes,,,,,ethnic name of 'Aphy',
ΤΨ,,,,"a-pu2/
a-pu2-de/ a-pu2-we",,,,,,Αφύ/ Αφύνδε/ ΑφύFει,,,,,,,,Aphy/ Aphynde/ Aphyvei,,,,,place name (απύ= steep),
11'1,,,,a-qa-to,,,,,,Άμβατος,,,,,,,,Amvatos,,,,,personal name,
r@/r,,,,a-qe-mo,,,,,,Ακβαίμων,,,,,,,,Akvaimon,,,,,personal name,
πc,,,,a-qo-ta,,,,,,Αμβότας,,,,,,,,Amvotas,,,,,personal name,
Ίbffi=l=D,,,,a-ra-ka-te-ja,,,,,,αλακάτειαι,,,,,,,,alakateiai,,,,,weavers (fem.) (ηλάκατα= wool/ ηλακάτη= spindle),
ΊbEB+rn,,,,a-ra-ka-te-ja-o,,,,,,αλακατειαίον,,,,,,,,alakateiaion,,,,,weavers'  place,
Ίb+r+ίϊ,,,,"a-ra-ro-mo-te- me-na/
a-ra-ro-mo-te- me-no",,,,,,αραρμοτ(η)μένα/ αραρμοτ(η)μένος,,,,,,,,ararmot(ei)mena/ ararmot(ei)menos,,,,,assembled,
1b11],,,,a-ra-ru-Ja,,,,,,αραρύια,,,,,,,,araryιa,,,,,bound/equipped (fem.),
1b1ΒΊ1,,,,a-ra-ru-wo-a,,,,,,αραρύFοα (>αραρύοντα),,,,,,,,araryvoa (>araryonta),,,,,bound/equipped (neut.),
ηο,,,,"a-re-ja /
a-re-jo/
. .
a-re+JO",,,,,,αρεία/ αρείος,,,,,,,,areia/ areιos,,,,,divine epithet (>Άρης= god Mars),
Ί1f E9Y b,,,,a-re-ka-sa-da-,,,,,,Αλεξάνδρα,,,,,,,,Alexandra,,,,,personal name,
,,,,ra,,,,,,,,,,,,,,,,,,,(fem.),
ηmιr,,,,a-re-ke-se-u,,,,,,Αλεξεύς,,,,,,,,Alexeus,,,,,personal name,
11\7\ίΊ,,,,a-re-ki-si-to-jo,,,,,,Αλεξίτοιο (Αλέξιτος),,,,,,,,Alexitoio (Alexitos),,,,,personal name,
η Ψ1Β,,,,"a-re-ku-tu-ru- wo/
a-re-ku-tu-ru- wo-ne/
a-re-ku-tu-ru- wo-no",,,,,,ΑλεκτρύFων,,,,,,,,Alektryfon,,,,,"personal name (=
'cock')",
Ί1fίΨ,,,,a-re-me-ne,,,,,,Αρ(ει)μένης,,,,,,,,Ar(ei)menes,,,,,personal name,
η+,,,,"a-re-pa/ a-ro-pa/
a-re-pa-te/ a-re-pa-to",,,,,,άλειφαρ (>αλοιφή),,,,,,,,aleiphar (>aloiphe),,,,,"cream, ointment",
η+m,,,,"a-re-pa-zo-o/
a-re-po-zo-o",,,,,,αλειφαζόος (>αλειφόβιος),,,,,,,,"aleiphazoos
(>aleiphovios)",,,,,"occupation (=
'anointer')",
rd/r,,,,a-ro2-a,,,,,,αρίοα (>αρείονα),,,,,,,,aryoa (>areiona),,,,,"better (neut., plur.)",
rωΑ,,,,a-ro2-e,,,,,,αρίοες (>αρείονες),,,,,,,,"aryoes
(>areiones)",,,,,"better (masq., plur.)",
rωτ,,,,a-ro2-JO,,,,,,αρίοιο (>αρείονος),,,,,,,,". .
aηοιο
(>areionos)",,,,,"better (masq., sing., gen.)",
,,,,"a-ru-ra/
a-ro-u-ra",,,,,,αρούρα,,,,,,,,aroura,,,,,unit of land,
,,,,a-sa-mi-to,,,,,,ασάμινθος,,,,,,,,asaminthos,,,,,bath tab,
Ί1 00,,,,a-si-ja-ti-ja,,,,,,Ασιάτιαι,,,,,,,,Asiatiai,,,,,place name,
r,,,,a-si-wi-ja/,,,,,,ΑσίFια/,,,,,,,,Asivia/,,,,,ethnic name,
,,,,". .
a-Sl-Wl-JO",,,,,,ΑσίFιος,,,,,,,,Asivios,,,,,,
τοιfΥί,,,,"a-ta-ma-ne-u/
a-ta-ma-ne-we",,,,,,Αθαμανεύς (>Αθάμας),,,,,,,,Athamaneus (>Athamas),,,,,personal name,
lli ffiYD,,,,a-ta-na (-po-ti- ni-ja),,,,,,Ατάνα (-πότνια),,,,,,,,Atana (-potnia= beloved),,,,,goddess' s name (goddess Athena),
ΊtJs,,,,"a-ta-no/
a-ta-no-re/ a-ta-no-ro",,,,,,Αντάνωρ,,,,,,,,Antanor,,,,,personal name,
\Ί,,,,a-ta-ra-si-jo,,,,,,αταλάνσιος,,,,,,,,atalansios,,,,,"without copper
(see also 'talansia' )",
,,,,a-te-mi-ti-jo,,,,,,Αρτεμίτιος,,,,,,,,Artemitios,,,,,personal name,
Τ=Ι=Ξ)r,,,,a-te-mo,,,,,,Αρτέμων/ Ανθέμων,,,,,,,,Artemon/ Anthemon,,,,,personal name,
T=l=f&:Ο,,,,a-te-re-wi-ja,,,,,,ΑτρειFία,,,,,,,,Atreivia,,,,,ethnic/place name,
Τ=Ι=Ζ,,,,a-te-we,,,,,,α(;)τήFει,,,,,,,,a(?)tevei,,,,,kind of pot (jug),
rιτ,,,,a-to-po-qo,,,,,,αρτοπόπος (>αρτοποιός),,,,,,,,"artopopos
(>artopoios)",,,,,baker,
Ί1ffiV=I=,,,,a-ti-mi-te,,,,,,Αρτιμίτει (Άρτεμις;),,,,,,,,Artimitei (Artemis?),,,,,goddess' s name,
n+,,,,a-to-ro-po,,,,,,ανθρώπω (άνθρωπος),,,,,,,,anthropo (anthropos),,,,,human,
ΊΨ,,,,a-tu-ko,,,,,,Άτυκος/Άτυγος,,,,,,,,Atykos/Atygos,,,,,personal name,
χ2Υ,,,,au-de-we-sa,,,,,,(au-de)Fεσσα,,,,,,,,(au-de)vessa,,,,,haνing  'au-d' (= a rosette?),
ffim,,,,au-ke-wa,,,,,,ΑυγέFαν (Αυγεύς),,,,,,,,Augevan (Augeus),,,,,personal name,
+,,,,au-ro,,,,,,αυλοί (αυλός),,,,,,,,aulos (aulos),,,,,pipe (> musical instrument),
w,,,,au-ta2,,,,,,Αυτίας,,,,,,,,Autias,,,,,personal name,
Ί12ffilF,,,,"a-we-ke-se-u/
a-we-ke-se-we",,,,,,ΑFειξεύς,,,,,,,,Afeixeus,,,,,personal name,
iΕΘΤvΊ,,,,"a2-ka-a2-ki-ri-
JO",,,,,,(a2-ka-a2) + άγριος,,,,,,,,"(a2-ka-a2)
+ agrios",,,,,ethnic/place name (>αγρός= field),
i-Wlffi,,,,a2-ro-u-do-pi,,,,,,hαλοσύδωρφι,,,,,,,,halosydorphi,,,,,"aquamanne (gem)/with wave- like patterns
(άλς= sea+ ύδωρ= water)",
ί Β=Ι=,,,,a2-ru-wo-te,,,,,,"ΗαρύFοθεν
(>Χάρυβδος;)",,,,,,,,"Haryvothen
(>Haryvdos ?)",,,,,place name,
i=I=+,,,,a2-te-ro,,,,,,hάτερος (>έτερος),,,,,,,,hateros (>eteros),,,,,other,
,,,,,,,,,,,,,,,,,,,,,,,,
fΊχ,,,,da-da-re-jo-de,,,,,,Δαδαλείονδε (Δαδαλείον),,,,,,,,Dadaleionde (Dadaleion),,,,,place name/ sanctuary,
