site,number_documents,document_name,link,type,signs,words,location,period,motif,width_cm,height_cm,depth_cm
Arkhanes,10,ARKH 1a,https://sigla.phis.me/document/ARKH%201a/,Tablet,18,6,Arkhanes,LM I,,6,8,0.95
Arkhanes,10,ARKH 1b,https://sigla.phis.me/document/ARKH%201b/,Tablet,5,4,Arkhanes,LM I,,6,8,0.95
Arkhanes,10,ARKH 2,https://sigla.phis.me/document/ARKH%202/,Tablet,23,6,Arkhanes,LM I,,4.9,7.5,0.7
Arkhanes,10,ARKH 3a,https://sigla.phis.me/document/ARKH%203a/,Tablet,12,3,Arkhanes,LM I,,5.5,10.1,1.25
Arkhanes,10,ARKH 3b,https://sigla.phis.me/document/ARKH%203b/,Tablet,9,2,Arkhanes,LM I,,5.5,10.1,1.25
Arkhanes,10,ARKH 4a,https://sigla.phis.me/document/ARKH%204a/,Tablet,19,5,Arkhanes,LM I,,7.65,7.5,1.2
Arkhanes,10,ARKH 4b,https://sigla.phis.me/document/ARKH%204b/,Tablet,13,6,Arkhanes,LM I,,5.5,10.1,1.25
Arkhanes,10,ARKH 5,https://sigla.phis.me/document/ARKH%205/,Tablet,11,3,Arkhanes,LM I,,7.8,5.7,1.2
Arkhanes,10,ARKH 6,https://sigla.phis.me/document/ARKH%206/,Tablet,6,3,Arkhanes,LM I,,4.9,2.6,0.7
Arkhanes,10,ARKH 7,https://sigla.phis.me/document/ARKH%207/,Tablet,2,1,Arkhanes,LM I,,2.2,4.3,0.7
Gournia,2,GO Wc 1a,https://sigla.phis.me/document/GO%20Wc%201a/,Roundel,6,1,Gournia,LM IB,bull,3.5,3.5,1
Gournia,2,GO Wc 1b,https://sigla.phis.me/document/GO%20Wc%201b/,Roundel,1,0,Gournia,LM IB,bull,3.5,3.5,1
Haghia Triada,372,HT 1,https://sigla.phis.me/document/HT%201/,Tablet,18,6,Haghia Triada,LM IB,,6.6,7,0.9
Haghia Triada,372,HT 100,https://sigla.phis.me/document/HT%20100/,Tablet,23,2,Haghia Triada,LM IB,,7.5,10,0.9
Haghia Triada,372,HT 101,https://sigla.phis.me/document/HT%20101/,Tablet,23,4,Haghia Triada,LM IB,,4.9,7.4,1
Haghia Triada,372,HT 102,https://sigla.phis.me/document/HT%20102/,Tablet,22,7,Haghia Triada,LM IB,,6.1,7,1
Haghia Triada,372,HT 103,https://sigla.phis.me/document/HT%20103/,Tablet,20,5,Haghia Triada,LM IB,,5.4,7.3,1
Haghia Triada,372,HT 104,https://sigla.phis.me/document/HT%20104/,Tablet,19,5,Haghia Triada,LM IB,,4.3,7.6,0.8
Haghia Triada,372,HT 107,https://sigla.phis.me/document/HT%20107/,Tablet,4,0,Haghia Triada,LM IB,,5.3,4.5,0.8
Haghia Triada,372,HT 108,https://sigla.phis.me/document/HT%20108/,Tablet,16,4,Haghia Triada,LM IB,,4.9,5.7,0.9
Haghia Triada,372,HT 109,https://sigla.phis.me/document/HT%20109/,Tablet,8,5,Haghia Triada,LM IB,,6.9,7.3,1.2
Haghia Triada,372,HT 10a,https://sigla.phis.me/document/HT%2010a/,Tablet,27,8,Haghia Triada,LM IB,,6.1,5.7,1.1
Haghia Triada,372,HT 10b,https://sigla.phis.me/document/HT%2010b/,Tablet,21,6,Haghia Triada,LM IB,,6.1,5.7,1.1
Haghia Triada,372,HT 110a,https://sigla.phis.me/document/HT%20110a/,Tablet,12,4,Haghia Triada,LM IB,,5.1,8.5,0.7
Haghia Triada,372,HT 110b,https://sigla.phis.me/document/HT%20110b/,Tablet,14,2,Haghia Triada,LM IB,,5.1,8.5,0.7
Haghia Triada,372,HT 112a,https://sigla.phis.me/document/HT%20112a/,Tablet,4,2,Haghia Triada,LM IB,,2.3,3.8,0.6
Haghia Triada,372,HT 112b,https://sigla.phis.me/document/HT%20112b/,Tablet,2,1,Haghia Triada,LM IB,,2.3,3.8,0.6
Haghia Triada,372,HT 113 ter,https://sigla.phis.me/document/HT%20113%20ter/,Tablet,2,1,Haghia Triada,LM IB,,1.6,2.1,0.3
Haghia Triada,372,HT 113,https://sigla.phis.me/document/HT%20113/,Tablet,10,2,Haghia Triada,LM IB,,5.5,6.2,0.9
Haghia Triada,372,HT 114a,https://sigla.phis.me/document/HT%20114a/,Tablet,10,2,Haghia Triada,LM IB,,3.8,5.6,0.8
Haghia Triada,372,HT 114b,https://sigla.phis.me/document/HT%20114b/,Tablet,1,0,Haghia Triada,LM IB,,3.8,5.6,0.8
Haghia Triada,372,HT 115a,https://sigla.phis.me/document/HT%20115a/,Tablet,40,7,Haghia Triada,LM IB,,6.1,8.3,1.1
Haghia Triada,372,HT 115b,https://sigla.phis.me/document/HT%20115b/,Tablet,32,9,Haghia Triada,LM IB,,6.1,8.3,1.1
Haghia Triada,372,HT 116a,https://sigla.phis.me/document/HT%20116a/,Tablet,34,6,Haghia Triada,LM IB,,5.2,7.6,0.6
Haghia Triada,372,HT 116b,https://sigla.phis.me/document/HT%20116b/,Tablet,5,1,Haghia Triada,LM IB,,5.2,7.6,0.6
Haghia Triada,372,HT 117a,https://sigla.phis.me/document/HT%20117a/,Tablet,61,20,Haghia Triada,LM IB,,6.7,10.9,0.8
Haghia Triada,372,HT 117b,https://sigla.phis.me/document/HT%20117b/,Tablet,9,3,Haghia Triada,LM IB,,6.7,10.9,0.8
Haghia Triada,372,HT 118,https://sigla.phis.me/document/HT%20118/,Tablet,19,5,Haghia Triada,LM IB,,5.3,7.5,0.8
Haghia Triada,372,HT 119,https://sigla.phis.me/document/HT%20119/,Tablet,20,7,Haghia Triada,LM IB,,6.3,7.6,0.8
Haghia Triada,372,HT 11a,https://sigla.phis.me/document/HT%2011a/,Tablet,19,6,Haghia Triada,LM IB,,4.4,5.8,0.7
Haghia Triada,372,HT 11b,https://sigla.phis.me/document/HT%2011b/,Tablet,18,6,Haghia Triada,LM IB,,4.4,5.8,0.7
Haghia Triada,372,HT 12,https://sigla.phis.me/document/HT%2012/,Tablet,19,3,Haghia Triada,LM IB,,5.8,9.2,-1
Haghia Triada,372,HT 120,https://sigla.phis.me/document/HT%20120/,Tablet,23,5,Haghia Triada,LM IB,,5.3,8.3,0.9
Haghia Triada,372,HT 121,https://sigla.phis.me/document/HT%20121/,Tablet,11,2,Haghia Triada,LM IB,,4.1,6,1
Haghia Triada,372,HT 122a,https://sigla.phis.me/document/HT%20122a/,Tablet,46,19,Haghia Triada,LM IB,,5.8,8.7,0.8
Haghia Triada,372,HT 122b,https://sigla.phis.me/document/HT%20122b/,Tablet,26,8,Haghia Triada,LM IB,,5.8,8.7,0.8
Haghia Triada,372,HT 123a,https://sigla.phis.me/document/HT%20123a/,Tablet,51,12,Haghia Triada,LM IB,,5.5,10.1,0.8
Haghia Triada,372,HT 123b,https://sigla.phis.me/document/HT%20123b/,Tablet,35,10,Haghia Triada,LM IB,,5.5,10.1,0.8
Haghia Triada,372,HT 126a,https://sigla.phis.me/document/HT%20126a/,Tablet,15,6,Haghia Triada,LM IB,,4.1,5.9,1
Haghia Triada,372,HT 126b,https://sigla.phis.me/document/HT%20126b/,Tablet,6,0,Haghia Triada,LM IB,,4.1,5.9,1
Haghia Triada,372,HT 127a,https://sigla.phis.me/document/HT%20127a/,Tablet,7,2,Haghia Triada,LM IB,,6.4,7.8,0.8
Haghia Triada,372,HT 127b,https://sigla.phis.me/document/HT%20127b/,Tablet,11,3,Haghia Triada,LM IB,,6.4,7.8,0.8
Haghia Triada,372,HT 128a,https://sigla.phis.me/document/HT%20128a/,Tablet,23,7,Haghia Triada,LM IB,,5.7,5.7,0.9
Haghia Triada,372,HT 128b,https://sigla.phis.me/document/HT%20128b/,Tablet,7,2,Haghia Triada,LM IB,,5.7,5.7,0.9
Haghia Triada,372,HT 129,https://sigla.phis.me/document/HT%20129/,Tablet,15,2,Haghia Triada,LM IB,,5.5,5.3,0.9
Haghia Triada,372,HT 13,https://sigla.phis.me/document/HT%2013/,Tablet,27,8,Haghia Triada,LM IB,,6.1,10.5,0.8
Haghia Triada,372,HT 130,https://sigla.phis.me/document/HT%20130/,Tablet,9,3,Haghia Triada,LM IB,,5.9,10,0.8
Haghia Triada,372,HT 131a,https://sigla.phis.me/document/HT%20131a/,Tablet,11,2,Haghia Triada,LM IB,,4.5,5,0.9
Haghia Triada,372,HT 131b,https://sigla.phis.me/document/HT%20131b/,Tablet,9,2,Haghia Triada,LM IB,,4.5,5,0.9
Haghia Triada,372,HT 132,https://sigla.phis.me/document/HT%20132/,Tablet,9,2,Haghia Triada,LM IB,,5.5,2.7,0.8
Haghia Triada,372,HT 133,https://sigla.phis.me/document/HT%20133/,Tablet,4,1,Haghia Triada,LM IB,,3.7,3.8,0.6
Haghia Triada,372,HT 135a,https://sigla.phis.me/document/HT%20135a/,Tablet,11,5,Haghia Triada,LM IB,,5,5.6,0.7
Haghia Triada,372,HT 135b,https://sigla.phis.me/document/HT%20135b/,Tablet,4,1,Haghia Triada,LM IB,,5,5.6,0.7
Haghia Triada,372,HT 136a,https://sigla.phis.me/document/HT%20136a/,Tablet,3,1,Haghia Triada,LM IB,,2.4,5.4,0.8
Haghia Triada,372,HT 136b,https://sigla.phis.me/document/HT%20136b/,Tablet,0,0,Haghia Triada,LM IB,,2.4,5.4,0.8
Haghia Triada,372,HT 137,https://sigla.phis.me/document/HT%20137/,Tablet,6,3,Haghia Triada,LM IB,,4.3,4.5,0.5
Haghia Triada,372,HT 139,https://sigla.phis.me/document/HT%20139/,Tablet,9,2,Haghia Triada,LM IB,,3.3,3.4,0.9
Haghia Triada,372,HT 14,https://sigla.phis.me/document/HT%2014/,Tablet,18,2,Haghia Triada,LM IB,,6.2,9.9,0.9
Haghia Triada,372,HT 140,https://sigla.phis.me/document/HT%20140/,Tablet,32,7,Haghia Triada,LM IB,,6.6,9.4,0.7
Haghia Triada,372,HT 141,https://sigla.phis.me/document/HT%20141/,Tablet,5,2,Haghia Triada,LM IB,,2.3,2.9,0.6
Haghia Triada,372,HT 142,https://sigla.phis.me/document/HT%20142/,Tablet,1,1,Haghia Triada,LM IB,,1.7,1.8,0.6
Haghia Triada,372,HT 144,https://sigla.phis.me/document/HT%20144/,Tablet,3,3,Haghia Triada,LM IB,,3.1,5.2,0.8
Haghia Triada,372,HT 146,https://sigla.phis.me/document/HT%20146/,Tablet,7,3,Haghia Triada,LM IB,,5,4.7,0.9
Haghia Triada,372,HT 147,https://sigla.phis.me/document/HT%20147/,Tablet,4,1,Haghia Triada,LM IB,,1.9,4,0.7
Haghia Triada,372,HT 15,https://sigla.phis.me/document/HT%2015/,Tablet,12,3,Haghia Triada,LM IB,,5.1,6.9,0.9
Haghia Triada,372,HT 154,https://sigla.phis.me/document/HT%20154/,Tablet,3,2,Haghia Triada,LM IB,,4.7,6.1,0.9
Haghia Triada,372,HT 154A,https://sigla.phis.me/document/HT%20154A/,Tablet,10,3,Haghia Triada,LM IB,,4.2,7.2,0.9
Haghia Triada,372,HT 154B,https://sigla.phis.me/document/HT%20154B/,Tablet,1,0,Haghia Triada,LM IB,,3.2,4.2,0.8
Haghia Triada,372,HT 154C,https://sigla.phis.me/document/HT%20154C/,Tablet,4,2,Haghia Triada,LM IB,,1.6,2,0.6
Haghia Triada,372,HT 154E,https://sigla.phis.me/document/HT%20154E/,Tablet,4,1,Haghia Triada,LM IB,,3.7,3.8,0.7
Haghia Triada,372,HT 154G,https://sigla.phis.me/document/HT%20154G/,Tablet,2,1,Haghia Triada,LM IB,,2.8,2.4,0.5
Haghia Triada,372,HT 154Ja,https://sigla.phis.me/document/HT%20154Ja/,Tablet,2,1,Haghia Triada,LM IB,,3.5,3.3,1
Haghia Triada,372,HT 154Jb,https://sigla.phis.me/document/HT%20154Jb/,Tablet,1,1,Haghia Triada,LM IB,,3.5,3.3,1
Haghia Triada,372,HT 154K,https://sigla.phis.me/document/HT%20154K/,Tablet,2,2,Haghia Triada,LM IB,,2.8,2.8,0.8
Haghia Triada,372,HT 154L,https://sigla.phis.me/document/HT%20154L/,Tablet,0,0,Haghia Triada,LM IB,,2.8,2.8,0.8
Haghia Triada,372,HT 154M,https://sigla.phis.me/document/HT%20154M/,Tablet,2,2,Haghia Triada,LM IB,,3.1,3.5,0.8
Haghia Triada,372,HT 154N,https://sigla.phis.me/document/HT%20154N/,Tablet,2,2,Haghia Triada,LM IB,,2.8,4,0.9
Haghia Triada,372,HT 16,https://sigla.phis.me/document/HT%2016/,Tablet,16,3,Haghia Triada,LM IB,,4.6,6.8,1
Haghia Triada,372,HT 17,https://sigla.phis.me/document/HT%2017/,Tablet,11,3,Haghia Triada,LM IB,,4.6,5.6,0.7
Haghia Triada,372,HT 18,https://sigla.phis.me/document/HT%2018/,Tablet,11,2,Haghia Triada,LM IB,,4,5.7,0.8
Haghia Triada,372,HT 19,https://sigla.phis.me/document/HT%2019/,Tablet,12,3,Haghia Triada,LM IB,,3.5,5.9,0.8
Haghia Triada,372,HT 2,https://sigla.phis.me/document/HT%202/,Tablet,12,2,Haghia Triada,LM IB,,4.8,6.9,0.9
Haghia Triada,372,HT 20,https://sigla.phis.me/document/HT%2020/,Tablet,22,4,Haghia Triada,LM IB,,3.9,6.2,0.8
Haghia Triada,372,HT 21,https://sigla.phis.me/document/HT%2021/,Tablet,15,1,Haghia Triada,LM IB,,4.5,6.7,0.9
Haghia Triada,372,HT 22,https://sigla.phis.me/document/HT%2022/,Tablet,3,0,Haghia Triada,LM IB,,3.4,3,0.6
Haghia Triada,372,HT 23a,https://sigla.phis.me/document/HT%2023a/,Tablet,30,4,Haghia Triada,LM IB,,5.6,6.9,0.8
Haghia Triada,372,HT 23b,https://sigla.phis.me/document/HT%2023b/,Tablet,12,4,Haghia Triada,LM IB,,5.6,6.9,0.8
Haghia Triada,372,HT 24a,https://sigla.phis.me/document/HT%2024a/,Tablet,20,3,Haghia Triada,LM IB,,5.9,7.9,0.9
Haghia Triada,372,HT 24b,https://sigla.phis.me/document/HT%2024b/,Tablet,9,0,Haghia Triada,LM IB,,5.9,7.9,0.9
Haghia Triada,372,HT 25a,https://sigla.phis.me/document/HT%2025a/,Tablet,28,9,Haghia Triada,LM IB,,7,6.3,1
Haghia Triada,372,HT 25b,https://sigla.phis.me/document/HT%2025b/,Tablet,12,5,Haghia Triada,LM IB,,7,6.3,1
Haghia Triada,372,HT 26a,https://sigla.phis.me/document/HT%2026a/,Tablet,13,4,Haghia Triada,LM IB,,4.5,5.2,0.9
Haghia Triada,372,HT 26b,https://sigla.phis.me/document/HT%2026b/,Tablet,15,5,Haghia Triada,LM IB,,4.5,5.2,0.9
Haghia Triada,372,HT 27a,https://sigla.phis.me/document/HT%2027a/,Tablet,31,8,Haghia Triada,LM IB,,6.7,9.3,1
Haghia Triada,372,HT 27b,https://sigla.phis.me/document/HT%2027b/,Tablet,18,3,Haghia Triada,LM IB,,6.7,9.3,1
Haghia Triada,372,HT 28a,https://sigla.phis.me/document/HT%2028a/,Tablet,31,5,Haghia Triada,LM IB,,5.9,8.5,0.9
Haghia Triada,372,HT 28b,https://sigla.phis.me/document/HT%2028b/,Tablet,28,6,Haghia Triada,LM IB,,5.9,8.5,0.9
Haghia Triada,372,HT 29,https://sigla.phis.me/document/HT%2029/,Tablet,31,7,Haghia Triada,LM IB,,5.7,9.5,0.8
Haghia Triada,372,HT 3,https://sigla.phis.me/document/HT%203/,Tablet,23,11,Haghia Triada,LM IB,,5.9,9.2,0.8
Haghia Triada,372,HT 30,https://sigla.phis.me/document/HT%2030/,Tablet,32,3,Haghia Triada,LM IB,,5.1,8.1,0.7
Haghia Triada,372,HT 31,https://sigla.phis.me/document/HT%2031/,Tablet,33,9,Haghia Triada,LM IB,,5.8,8.5,0.9
Haghia Triada,372,HT 32,https://sigla.phis.me/document/HT%2032/,Tablet,18,2,Haghia Triada,LM IB,,5.1,7.8,0.7
Haghia Triada,372,HT 33,https://sigla.phis.me/document/HT%2033/,Tablet,18,2,Haghia Triada,LM IB,,5.8,7.8,0.6
Haghia Triada,372,HT 34,https://sigla.phis.me/document/HT%2034/,Tablet,29,4,Haghia Triada,LM IB,,5,7.6,0.9
Haghia Triada,372,HT 35,https://sigla.phis.me/document/HT%2035/,Tablet,21,2,Haghia Triada,LM IB,,5.1,5.7,0.7
Haghia Triada,372,HT 36,https://sigla.phis.me/document/HT%2036/,Tablet,13,2,Haghia Triada,LM IB,,4.6,6.1,0.9
Haghia Triada,372,HT 37,https://sigla.phis.me/document/HT%2037/,Tablet,20,8,Haghia Triada,LM IB,,3.9,5.5,0.7
Haghia Triada,372,HT 38,https://sigla.phis.me/document/HT%2038/,Tablet,10,1,Haghia Triada,LM IB,,6.9,5.9,0.9
Haghia Triada,372,HT 39,https://sigla.phis.me/document/HT%2039/,Tablet,17,6,Haghia Triada,LM IB,,4.8,7,0.7
Haghia Triada,372,HT 4,https://sigla.phis.me/document/HT%204/,Tablet,16,4,Haghia Triada,LM IB,,4.7,3.6,0.9
Haghia Triada,372,HT 40,https://sigla.phis.me/document/HT%2040/,Tablet,12,4,Haghia Triada,LM IB,,4.8,4.4,0.8
Haghia Triada,372,HT 41a,https://sigla.phis.me/document/HT%2041a/,Tablet,13,3,Haghia Triada,LM IB,,5.1,3.3,0.8
Haghia Triada,372,HT 41b,https://sigla.phis.me/document/HT%2041b/,Tablet,1,1,Haghia Triada,LM IB,,5.1,3.3,0.8
Haghia Triada,372,HT 42+59,https://sigla.phis.me/document/HT%2042%2B59/,Tablet,20,5,Haghia Triada,LM IB,,6.2,4.8,5.3
Haghia Triada,372,HT 43,https://sigla.phis.me/document/HT%2043/,Tablet,7,2,Haghia Triada,LM IB,,4.5,3.3,0.9
Haghia Triada,372,HT 44a,https://sigla.phis.me/document/HT%2044a/,Tablet,12,1,Haghia Triada,LM IB,,4.2,8.2,1.1
Haghia Triada,372,HT 44b,https://sigla.phis.me/document/HT%2044b/,Tablet,4,1,Haghia Triada,LM IB,,4.2,8.2,1.1
Haghia Triada,372,HT 45a,https://sigla.phis.me/document/HT%2045a/,Tablet,6,1,Haghia Triada,LM IB,,6,5.1,0.8
Haghia Triada,372,HT 45b,https://sigla.phis.me/document/HT%2045b/,Tablet,19,2,Haghia Triada,LM IB,,6,5.1,0.8
Haghia Triada,372,HT 46a,https://sigla.phis.me/document/HT%2046a/,Tablet,6,3,Haghia Triada,LM IB,,4.1,4.2,0.8
Haghia Triada,372,HT 46b,https://sigla.phis.me/document/HT%2046b/,Tablet,2,0,Haghia Triada,LM IB,,4.1,4.2,0.8
Haghia Triada,372,HT 47a,https://sigla.phis.me/document/HT%2047a/,Tablet,16,8,Haghia Triada,LM IB,,5.8,8.5,1.3
Haghia Triada,372,HT 47b,https://sigla.phis.me/document/HT%2047b/,Tablet,3,1,Haghia Triada,LM IB,,5.8,8.5,1.3
Haghia Triada,372,HT 49a,https://sigla.phis.me/document/HT%2049a/,Tablet,32,12,Haghia Triada,LM IB,,5.5,9.2,0.7
Haghia Triada,372,HT 49b,https://sigla.phis.me/document/HT%2049b/,Tablet,7,7,Haghia Triada,LM IB,,5.5,9.2,0.7
Haghia Triada,372,HT 5,https://sigla.phis.me/document/HT%205/,Tablet,7,4,Haghia Triada,LM IB,,3.3,3.5,0.9
Haghia Triada,372,HT 50a,https://sigla.phis.me/document/HT%2050a/,Tablet,15,1,Haghia Triada,LM IB,,4.2,5,1
Haghia Triada,372,HT 50b,https://sigla.phis.me/document/HT%2050b/,Tablet,4,1,Haghia Triada,LM IB,,4.2,5,1
Haghia Triada,372,HT 51a,https://sigla.phis.me/document/HT%2051a/,Tablet,8,2,Haghia Triada,LM IB,,3.6,4.7,0.7
Haghia Triada,372,HT 51b,https://sigla.phis.me/document/HT%2051b/,Tablet,8,3,Haghia Triada,LM IB,,3.6,4.7,0.7
Haghia Triada,372,HT 52a,https://sigla.phis.me/document/HT%2052a/,Tablet,7,2,Haghia Triada,LM IB,,3.2,4.2,0.6
Haghia Triada,372,HT 52b,https://sigla.phis.me/document/HT%2052b/,Tablet,2,1,Haghia Triada,LM IB,,3.2,4.2,0.6
Haghia Triada,372,HT 53a,https://sigla.phis.me/document/HT%2053a/,Tablet,7,5,Haghia Triada,LM IB,,4.5,5.8,0.8
Haghia Triada,372,HT 53b,https://sigla.phis.me/document/HT%2053b/,Tablet,3,2,Haghia Triada,LM IB,,4.5,5.8,0.8
Haghia Triada,372,HT 54a,https://sigla.phis.me/document/HT%2054a/,Tablet,9,4,Haghia Triada,LM IB,,2.6,2.4,0.7
Haghia Triada,372,HT 54b,https://sigla.phis.me/document/HT%2054b/,Tablet,1,1,Haghia Triada,LM IB,,2.6,2.4,0.7
Haghia Triada,372,HT 55a,https://sigla.phis.me/document/HT%2055a/,Tablet,10,6,Haghia Triada,LM IB,,3.6,3,0.9
Haghia Triada,372,HT 55b,https://sigla.phis.me/document/HT%2055b/,Tablet,5,4,Haghia Triada,LM IB,,3.6,3,0.9
Haghia Triada,372,HT 56a,https://sigla.phis.me/document/HT%2056a/,Tablet,4,2,Haghia Triada,LM IB,,2.6,2.1,0.7
Haghia Triada,372,HT 56b,https://sigla.phis.me/document/HT%2056b/,Tablet,1,0,Haghia Triada,LM IB,,2.6,2.1,0.7
Haghia Triada,372,HT 57a,https://sigla.phis.me/document/HT%2057a/,Tablet,6,2,Haghia Triada,LM IB,,3,2.8,0.7
Haghia Triada,372,HT 57b,https://sigla.phis.me/document/HT%2057b/,Tablet,1,0,Haghia Triada,LM IB,,3,2.8,0.7
Haghia Triada,372,HT 58,https://sigla.phis.me/document/HT%2058/,Tablet,10,2,Haghia Triada,LM IB,,4,4.8,0.7
Haghia Triada,372,HT 60,https://sigla.phis.me/document/HT%2060/,Tablet,10,0,Haghia Triada,LM IB,,5,4.5,0.9
Haghia Triada,372,HT 61,https://sigla.phis.me/document/HT%2061/,Tablet,3,1,Haghia Triada,LM IB,,4.6,5.8,1.1
Haghia Triada,372,HT 62+73,https://sigla.phis.me/document/HT%2062%2B73/,Tablet,28,10,Haghia Triada,LM IB,,5.1,7,3.3
Haghia Triada,372,HT 63,https://sigla.phis.me/document/HT%2063/,Tablet,7,3,Haghia Triada,LM IB,,5.8,4.2,0.8
